experiment,group,strategy,size,hybrid,rerank,embedding,n_chunks,hit@1,recall@1,mrr@1,hit@5,recall@5,mrr@5,latency_ms,n_queries
strategy=fixed,A_分块策略,fixed,400,True,True,bge-base-zh-v1.5,57,0.8157894736842105,0.8157894736842105,0.8157894736842105,1.0,1.0,0.8991228070175438,84.08849736846797,38
strategy=recursive,A_分块策略,recursive,400,True,True,bge-base-zh-v1.5,57,0.8157894736842105,0.8157894736842105,0.8157894736842105,1.0,1.0,0.8991228070175438,54.3533447368023,38
strategy=sentence,A_分块策略,sentence,400,True,True,bge-base-zh-v1.5,57,0.8157894736842105,0.8157894736842105,0.8157894736842105,1.0,1.0,0.8991228070175438,52.30764473679684,38
size=200,B_块大小,recursive,200,True,True,bge-base-zh-v1.5,62,0.8157894736842105,0.8157894736842105,0.8157894736842105,1.0,1.0,0.8991228070175438,52.377226315672345,38
size=400,B_块大小,recursive,400,True,True,bge-base-zh-v1.5,57,0.8157894736842105,0.8157894736842105,0.8157894736842105,1.0,1.0,0.8991228070175438,55.11382894761291,38
size=600,B_块大小,recursive,600,True,True,bge-base-zh-v1.5,57,0.8157894736842105,0.8157894736842105,0.8157894736842105,1.0,1.0,0.8991228070175438,55.213160526603275,38
"hybrid=on,rerank=on",C_检索消融,recursive,400,True,True,bge-base-zh-v1.5,57,0.8157894736842105,0.8157894736842105,0.8157894736842105,1.0,1.0,0.8991228070175438,56.04118157929119,38
"hybrid=on,rerank=off",C_检索消融,recursive,400,True,False,bge-base-zh-v1.5,57,0.8421052631578947,0.8421052631578947,0.8421052631578947,1.0,1.0,0.9035087719298245,9.627986841989792,38
"hybrid=off,rerank=on",C_检索消融,recursive,400,False,True,bge-base-zh-v1.5,57,0.8157894736842105,0.8157894736842105,0.8157894736842105,1.0,1.0,0.8991228070175438,43.1075026312771,38
"hybrid=off,rerank=off",C_检索消融,recursive,400,False,False,bge-base-zh-v1.5,57,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.9473684210526315,0.9473684210526315,0.8758771929824561,6.60513157881245,38
bge-small-zh-v1.5,D_向量模型,recursive,400,True,True,bge-small-zh-v1.5,57,0.8157894736842105,0.8157894736842105,0.8157894736842105,1.0,1.0,0.8991228070175438,40.02790526311927,38
bge-base-zh-v1.5,D_向量模型,recursive,400,True,True,bge-base-zh-v1.5,57,0.8157894736842105,0.8157894736842105,0.8157894736842105,1.0,1.0,0.8991228070175438,41.49781578943428,38
